@MR000,,Delay open air valve,,
@MR001,,Auto process - Vacuum,,
@MR003,,Melting done - close vacuum,,
@MR004,,Pressurize done Sol off flag,,
@MR005,,Air fill done - delay pump off,,
@MR007,,Air fill timeout timer,,
@MR008,,Start vacuum,,
@MR009,,Delay start vacuum,,
@MR010,,Vacuum reached - Sol off flag,,
@MR011,,Vacuum reached - delay pump off,,
@MR012,,Vac off delay open pos air,,
@MR014,,Close Sol to prevent pump stall,,
@MR100,,Stop_Vacuum,,
@MR101,,Vacuum timeout alarm,,
@MR110,,Prevent pump overheating timer,,
